Date,Open,High,Low,Close,Adj Close,Volume
1992-02-14,0.569196,0.573661,0.564732,0.572545,0.463036,72587200
2018-09-12,56.235001,56.250000,54.959999,55.267502,52.723034,197114800
2009-06-19,4.931071,4.982143,4.889286,4.981429,4.211564,721856800
2003-03-13,0.258393,0.264286,0.253036,0.262857,0.222233,335445600
2008-04-03,5.252143,5.486786,5.250000,5.414643,4.577823,1051568000
2016-02-03,23.750000,24.209999,23.520000,24.087500,21.871473,183857200
2019-05-08,50.474998,51.334999,50.437500,50.724998,48.766750,105358000
1985-08-19,0.066964,0.068080,0.066964,0.066964,0.051682,47868800
2004-11-26,1.166964,1.174286,1.148929,1.152679,0.974536,550144000
2002-02-05,0.448036,0.463929,0.447857,0.454464,0.384228,456887200
1988-03-18,0.401786,0.406250,0.395089,0.399554,0.310526,272160000
2010-08-16,8.842143,8.928929,8.807857,8.844286,7.477426,318430000
1989-02-17,0.323661,0.330357,0.323661,0.328125,0.257382,116849600
1998-03-26,0.238839,0.241071,0.236049,0.237165,0.200512,202966400
1997-08-27,0.199777,0.203125,0.195313,0.202567,0.171261,190635200
1989-04-20,0.363839,0.370536,0.359375,0.363839,0.285396,179816000
2009-05-01,4.492857,4.569643,4.492857,4.544286,3.841978,397516000
1993-06-07,0.486607,0.488839,0.449777,0.453125,0.370542,482305600
1996-08-22,0.205357,0.207589,0.204241,0.207589,0.175507,87684800
2002-03-20,0.440357,0.448929,0.437500,0.445000,0.376227,294319200
2007-09-11,4.925000,4.939286,4.776786,4.838929,4.091085,971885600
2009-09-18,6.636786,6.662500,6.598571,6.607857,5.586632,601582800
1990-01-16,0.299107,0.312500,0.292411,0.311384,0.245971,214244800
1994-05-11,0.276786,0.281250,0.265625,0.270089,0.223434,145521600
1998-07-06,0.263393,0.271205,0.260045,0.271205,0.229291,270950400
2022-09-27,152.740005,154.720001,149.949997,151.759995,150.270691,84442700
2022-01-04,182.630005,182.940002,179.119995,179.699997,177.203217,99310400
2005-06-20,1.351786,1.360357,1.337500,1.343214,1.135624,323716400
1981-11-30,0.083705,0.083705,0.083147,0.083147,0.064172,23968000
1989-05-01,0.343750,0.350446,0.343750,0.348214,0.273140,80662400
1994-02-11,0.323661,0.334821,0.323661,0.330357,0.273291,164248000
1982-12-27,0.142857,0.146763,0.141741,0.146205,0.112840,61868800
1981-10-13,0.085938,0.087054,0.085938,0.085938,0.066326,44195200
2021-07-13,144.029999,147.460007,143.630005,145.639999,143.192596,100827100
2010-11-19,10.998929,11.014286,10.901429,10.954643,9.261632,384843200
1998-10-08,0.276786,0.278460,0.254464,0.275112,0.232594,689214400
2012-07-13,21.533930,21.685356,21.428572,21.606071,18.266918,311427200
2010-09-27,10.499286,10.526071,10.393214,10.398571,8.791498,482834800
2004-03-29,0.488750,0.499821,0.485714,0.498393,0.421368,350728000
1992-05-08,0.549107,0.561384,0.544643,0.553571,0.447691,198699200
1990-05-31,0.370536,0.370536,0.366071,0.368304,0.292681,103084800
2003-01-13,0.266071,0.266071,0.256429,0.261250,0.220874,178942400
1995-07-14,0.422991,0.437500,0.419643,0.435268,0.365857,277928000
2006-11-28,3.227143,3.284643,3.211071,3.278929,2.772179,1036173600
2020-08-04,109.132500,110.790001,108.387497,109.665001,107.100502,173071600
1991-06-04,0.441964,0.441964,0.433036,0.438616,0.352416,184284800
2003-12-31,0.381250,0.384464,0.378214,0.381607,0.322631,174451200
1990-11-05,0.287946,0.299107,0.285714,0.296875,0.236631,184475200
1998-08-11,0.337054,0.366071,0.333705,0.348214,0.294398,1759475200
1998-07-27,0.305804,0.311384,0.296875,0.307478,0.259958,214233600
2013-04-30,15.539286,15.901786,15.431071,15.813571,13.566967,691538400
2012-05-31,20.740713,20.767857,20.409286,20.633215,17.444412,491674400
1985-03-07,0.109933,0.110491,0.098772,0.098772,0.076231,733980800
2020-08-03,108.199997,111.637497,107.892502,108.937500,106.390015,308151200
1998-11-19,0.316964,0.332031,0.316406,0.319196,0.269865,346528000
2017-02-02,31.995001,32.347500,31.945000,32.132500,29.825499,134841600
2022-03-31,177.839996,178.029999,174.399994,174.610001,172.403305,103049300
2002-11-13,0.276786,0.286964,0.272857,0.278393,0.235368,231739200
1998-06-15,0.243304,0.252232,0.243304,0.245536,0.207589,136662400
1994-11-01,0.382813,0.388253,0.378348,0.385045,0.320898,218097600
1982-09-15,0.084263,0.084263,0.083705,0.083705,0.064603,71747200
1988-04-13,0.372768,0.375000,0.366071,0.368304,0.286239,143360000
2008-06-27,5.946786,6.091786,5.862500,6.074643,5.135824,1042249600
2018-09-21,55.195000,55.340000,54.322498,54.415001,51.909775,384986800
2015-04-21,32.025002,32.049999,31.667500,31.727501,28.437773,129740400
1995-11-16,0.364955,0.370536,0.352679,0.356585,0.300539,226228800
1986-09-30,0.146763,0.151228,0.145647,0.149554,0.115424,180790400
2017-09-28,38.472500,38.570000,38.174999,38.320000,36.011284,88022000
2007-04-12,3.287143,3.296786,3.240000,3.292500,2.783653,656675600
2022-04-06,172.360001,173.630005,170.130005,171.830002,169.658447,89058800
2021-08-27,147.479996,148.750000,146.830002,148.600006,146.321777,55802400
1997-05-01,0.150670,0.152902,0.149554,0.151786,0.128328,72340800
2008-04-24,5.905000,6.070714,5.685357,6.033571,5.101099,1696066400
2022-10-28,148.199997,157.500000,147.820007,155.740005,154.211639,164762400
2021-10-11,142.270004,144.809998,141.809998,142.809998,140.620544,64452200
2007-08-08,4.884286,4.887857,4.714286,4.786071,4.046396,808096800
2007-10-19,6.222857,6.236786,6.071429,6.086429,5.145788,1291780000
2006-02-06,2.572143,2.589643,2.383571,2.403571,2.032105,1651767600
1997-02-06,0.136161,0.143973,0.136161,0.142857,0.120779,399504000
2004-12-08,1.126429,1.150536,1.108036,1.130000,0.955361,691902400
2012-02-28,18.855715,19.121786,18.780357,19.121786,16.166565,600387200
1987-08-18,0.439732,0.441964,0.430804,0.435268,0.336882,237440000
1990-09-05,0.332589,0.332589,0.319196,0.321429,0.256203,64052800
1981-07-29,0.106585,0.106585,0.106027,0.106027,0.081831,15500800
2016-01-20,23.775000,24.547501,23.355000,24.197500,21.971363,289337600
1999-01-22,0.336496,0.352679,0.330915,0.345982,0.292511,345766400
2014-11-26,29.485001,29.775000,29.457500,29.750000,26.560492,163073200
1999-02-05,0.341518,0.342634,0.316964,0.324219,0.274112,777201600
2013-08-20,18.203930,18.234644,17.886429,17.895357,15.556670,358688400
2022-12-28,129.669998,131.029999,125.870003,126.040001,125.010117,85438400
1984-07-05,0.112723,0.113839,0.108817,0.110491,0.085276,93184000
2020-10-01,117.639999,117.720001,115.830002,116.790001,114.264526,116120400
2018-08-28,54.752499,55.134998,54.730000,54.924999,52.396290,91107200
